v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
66,65,927229033024249856,927228039771148289,6,1509903603212,6/11/2017 04:36:06
68,54,927229864255598592,927219642350780417,6,1509903801393,6/11/2017 04:02:44
71,33,927232579509669889,927198244349734912,6,1509904448760,6/11/2017 02:37:42
71,33,927232638611533826,927198244349734912,6,1509904462851,6/11/2017 02:37:42
74,66,927234065693999105,927229033024249856,6,1509904803094,6/11/2017 04:40:03
19,1,927234331222986753,927228291156774912,6,1509904866401,6/11/2017 04:37:06
1,2,927235924995575809,927228332588007424,6,1509905246386,6/11/2017 04:37:16
2,1,927235967118913541,927235924995575809,6,1509905256429,6/11/2017 05:07:26
75,74,927236145423044609,927234065693999105,6,1509905298940,6/11/2017 05:00:03
76,75,927236146651959296,927236145423044609,6,1509905299233,6/11/2017 05:08:18
77,19,927236147792809985,927234331222986753,6,1509905299505,6/11/2017 05:01:06
70,74,927240261843013633,927234065693999105,6,1509906280371,6/11/2017 05:00:03
74,66,927240346819477504,927229033024249856,6,1509906300631,6/11/2017 04:40:03
19,1,927242007977787394,927235924995575809,6,1509906696682,6/11/2017 05:07:26
1,2,927243560629555200,927235967118913541,6,1509907066863,6/11/2017 05:07:36
2,1,927243602052505600,927243560629555200,6,1509907076739,6/11/2017 05:37:46
84,74,927248361291333633,927240346819477504,6,1509908211430,6/11/2017 05:25:00
1,2,927248595316768768,927243602052505600,6,1509908267226,6/11/2017 05:37:56
19,1,927248636232249351,927248595316768768,6,1509908276981,6/11/2017 05:57:47
2,1,927248679840505857,927248595316768768,6,1509908287378,6/11/2017 05:57:47
85,46,927249156984463361,927216031940128768,6,1509908401138,6/11/2017 03:48:23
86,74,927250261583818752,927240346819477504,6,1509908664495,6/11/2017 05:25:00
69,74,927250686558969856,927240346819477504,6,1509908765817,6/11/2017 05:25:00
1,2,927253836833656832,927248679840505857,6,1509909516901,6/11/2017 05:58:07
19,1,927253879556923392,927253836833656832,6,1509909527087,6/11/2017 06:18:36
2,1,927253920833048577,927253836833656832,6,1509909536928,6/11/2017 06:18:36
